RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
61,0,46523,Joey Garber,1.761,1386,787,30.61%
63,0,47663,Kevin Dougherty,1.762,1242,705,34.04%
64,0,39537,Chris Naegel,1.763,869,493,32.86%
64,0,58669,Jacob Solomon,1.763,1273,722,29.49%
66,0,54525,Ian Holt,1.764,958,543,30.87%
67,0,54655,Patrick Flavin,1.765,1114,631,29.51%
67,0,55623,Kaito Onishi,1.765,1103,625,30.40%
69,0,37212,Paul Barjon,1.766,1222,692,32.85%
69,0,34308,Brandon Crick,1.766,1217,689,32.17%
69,0,48632,Yuto Katsuragawa,1.766,733,415,32.05%
72,0,32070,Rafael Campos,1.767,1458,825,32.16%
72,0,59143,Mac Meissner,1.767,1438,814,32.27%
72,0,35658,Kris Ventura,1.767,1069,605,31.56%
75,0,34587,Chan Kim,1.768,1512,855,33.69%
75,0,57625,Trent Phillips,1.768,1400,792,32.95%
75,0,58619,Kevin Velo,1.768,1172,663,32.13%
78,0,27958,Ryan Blaum,1.769,936,529,28.27%
79,0,35376,Roberto Díaz,1.770,1577,891,29.41%
79,0,63121,William Mouw,1.770,915,517,31.20%
79,0,39953,Chase Seiffert,1.770,1365,771,31.56%
82,0,58436,Scott Stevens,1.771,974,550,31.88%
82,0,50706,Ashton Van Horne,1.771,1091,616,32.47%
84,0,54781,Grant Hirschman,1.772,1051,593,28.09%
84,0,50006,Willie Mack III,1.772,950,536,30.41%
84,0,34305,Daniel Miernicki,1.772,1320,745,28.53%
84,0,58594,Spencer Ralston,1.772,1104,623,30.65%
84,0,27330,Josh Teater,1.772,1547,873,29.87%
84,0,37006,Joel Thelen,1.772,946,534,30.83%
90,0,58658,Peter Knade,1.773,1085,612,32.73%
90,0,29938,Alan Wagner,1.773,1174,662,31.67%
90,0,50474,Tim Widing,1.773,1312,740,32.97%
90,0,35544,Andrew Yun,1.773,1062,599,28.93%
94,0,47154,Martin Contini,1.774,1153,650,31.23%
95,0,51671,Alex Chiarella,1.775,1372,773,31.30%
95,0,55165,Noah Goodwin,1.775,1074,605,30.13%
95,0,50490,Chase Parker,1.775,992,559,29.08%
95,0,45582,Jared Sawada,1.775,662,373,30.29%
95,0,55573,John VanDerLaan,1.775,1619,912,31.14%
100,0,54792,Chris Petefish,1.777,1180,664,28.44%
101,0,29675,Dan McCarthy,1.778,1383,778,27.28%
101,0,35113,Dimi Papadatos,1.778,985,554,31.41%
101,0,39480,T.J. Vogel,1.778,1159,652,27.82%
104,0,51696,Rico Hoey,1.779,1546,869,33.33%
104,0,54607,Danny Walker,1.779,909,511,31.96%
106,0,39393,Brad Hopfinger,1.780,1566,880,30.60%
106,0,59533,Joe Weiler,1.780,1271,714,30.43%
108,0,27770,Camilo Villegas,1.781,976,548,29.25%
109,0,34643,Michael Johnson,1.783,1246,699,29.15%
109,0,59137,RJ Manke,1.783,895,502,28.66%
111,0,47125,Matt Atkins,1.784,1440,807,30.77%
112,0,56781,Isaiah Salinda,1.786,1322,740,32.07%
112,0,58189,Billy Tom Sargent,1.786,593,332,33.23%
114,0,54995,Brendon Jelley,1.787,1158,648,28.09%
114,0,56376,Mitchell Meissner,1.787,1306,731,30.27%
114,0,56320,Bryson Nimmer,1.787,849,475,28.06%
117,0,52370,Mason Andersen,1.788,1534,858,29.04%
117,0,33120,Mark Anderson,1.788,1250,699,29.23%
119,0,10381,Curtis Thompson,1.789,959,536,31.27%
120,0,47987,Cole Hammer,1.790,800,447,32.74%
121,0,39412,Zack Fischer,1.791,1026,573,27.89%
121,0,56362,Alex Weiss,1.791,1137,635,29.81%
123,0,54393,A.J. Crouch,1.792,1265,706,29.60%
123,0,50582,Jeremy Paul,1.792,1573,878,31.85%
125,0,27466,Spencer Levin,1.793,1409,786,28.28%
126,0,35421,Brandon Harkins,1.794,1150,641,28.68%
127,0,55411,Jacob Bergeron,1.795,691,385,30.03%
128,0,46290,Wade Binfield,1.796,1013,564,27.53%
128,0,39420,Colin Featherstone,1.796,1076,599,30.38%
128,0,36789,Patrick Newcomb,1.796,1216,677,29.44%
128,0,48705,Dalton Ward,1.796,1029,573,28.55%
132,0,33490,Bo Hoag,1.797,1044,581,30.46%
132,0,35819,Vince India,1.797,1130,629,29.35%
132,0,32254,Xinjun Zhang,1.797,1073,597,28.69%
135,0,56676,John Augenstein,1.798,1311,729,29.48%
136,0,36735,Jorge Fernández Valdés,1.799,1448,805,31.13%
136,0,58166,Abel Gallegos,1.799,991,551,30.91%
136,0,47990,Kyle Jones,1.799,923,513,28.91%
136,0,55851,Pontus Nyholm,1.799,1529,850,30.11%
136,0,45540,Jared Wolfe,1.799,1290,717,29.51%
141,0,46550,Brandon Hagy,1.801,1142,634,29.86%
142,0,54794,Jay Card III,1.805,1166,646,30.42%
143,0,51680,Alistair Docherty,1.810,1381,763,28.82%
144,0,60882,Thomas Rosenmueller,1.817,1381,760,28.80%
145,0,54383,Ryan Elmore,1.861,642,345,28.70%
